"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","bidirectional","criterion","dropout_prob","embiddings_num","hidden_size","lr","mlp_layers","model","model_nr","num_classes","num_epochs","num_layers","patience","scheduler","scheduler_factor","step_size","test_class_labels_path","test_data_path","test_labels_path","train_class_labels_path","train_data_path","train_labels_path","val_class_labels_path","val_data_path","val_labels_path","wd","epoch","train_loss","val_loss"
"silvery-energy-68","finished","-","sbaumann","","2021-05-07T02:07:01.000Z","113","","64","true","cosine","0.1","128","50","0.00001","[128,256,256,512,512]","mlp","21","512","50","1","1","plateau","0.5","50","test_class_labels_14.npy","test_data_14.npy","test_labels_14.npy","train_unshuffle_class_labels_14.npy","train_unshuffle_data_14.npy","train_unshuffle_labels_14.npy","val_class_labels_14.npy","val_data_14.npy","val_labels_14.npy","0.000005","49","0.06915878724126269","0.07880715349109914"
"absurd-armadillo-67","finished","-","sbaumann","","2021-05-07T00:37:31.000Z","119","","64","true","cosine","0.1","128","50","0.00001","[128,256,256,512,512]","mlp","21","512","50","1","1","plateau","0.5","50","test_class_labels_13.npy","test_data_13.npy","test_labels_13.npy","train_unshuffle_class_labels_13.npy","train_unshuffle_data_13.npy","train_unshuffle_labels_13.npy","val_class_labels_13.npy","val_data_13.npy","val_labels_13.npy","0.000005","49","0.06875880311222773","0.07843764642988585"
"charmed-snowflake-66","finished","-","sbaumann","","2021-05-07T00:33:50.000Z","4","","64","true","cosine","0.1","128","50","0.00001","[128,256,256,512,512]","mlp","20","512","0","1","2","plateau","0.5","50","test_class_labels_12.npy","test_data_12.npy","test_labels_12.npy","train_unshuffle_class_labels_12.npy","train_unshuffle_data_12.npy","train_unshuffle_labels_12.npy","val_class_labels_12.npy","val_data_12.npy","val_labels_12.npy","0.000005","","",""
"worthy-dream-65","finished","-","sbaumann","","2021-05-06T22:51:14.000Z","4","","64","true","cosine","0.1","128","50","0.00001","[128,256,256,512,512]","mlp","20","512","0","1","2","plateau","0.5","50","test_class_labels_12.npy","test_data_12.npy","test_labels_12.npy","train_unshuffle_class_labels_12.npy","train_unshuffle_data_12.npy","train_unshuffle_labels_12.npy","val_class_labels_12.npy","val_data_12.npy","val_labels_12.npy","0.000005","","",""
"eternal-butterfly-64","finished","-","sbaumann","","2021-05-06T21:51:10.000Z","429","","64","true","cosine","0.1","128","50","0.00001","[128,256,256,512,512]","mlp","20","512","200","1","2","plateau","0.5","50","","test_data_12.npy","test_labels_12.npy","","train_unshuffle_data_12.npy","train_unshuffle_labels_12.npy","","val_data_12.npy","val_labels_12.npy","0.000005","199","0.06811716294612168","0.07926646523938906"
"lilac-fog-63","finished","-","sbaumann","","2021-05-06T16:21:54.000Z","144","","64","true","cosine","0.1","60","50","0.00001","[60,128,40]","mlp","15","40","150","1","1","steplr","0.5","50","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","149","0.4624940152456965","0.5118620138072488"
"desert-bush-62","finished","-","sbaumann","","2021-05-06T16:16:01.000Z","211","","64","true","cosine","0.3","60","50","0.00001","[60,124,256,40]","mlp","14","40","200","1","1","steplr","0.5","40","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","199","0.4802110667268518","0.49035282575305383"
"treasured-violet-61","finished","-","sbaumann","","2021-05-06T16:09:06.000Z","191","","64","true","cosine","0.2","60","50","0.00005","[60,50,40]","mlp","13","40","200","1","1","steplr","0.2","50","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","199","0.4612340222445311","0.5008874595464774"
"colorful-cloud-60","failed","-","sbaumann","","2021-05-06T16:07:56.000Z","64","","64","true","cosine","0.2","60","50","0.00005","[60,50,40]","mlp","13","40","200","1","1","steplr","0.2","10","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","62","0.5787997503619104","0.5969527803074375"
"curious-oath-56","finished","-","sbaumann","","2021-05-06T15:56:14.000Z","194","","64","true","cosine","0.2","60","50","0.0001","[60,50,40]","mlp","12","40","200","1","1","","0.5","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","199","0.4309296091065775","0.4829794981172137"
"dandy-cosmos-55","failed","-","sbaumann","","2021-05-06T15:50:22.000Z","347","","64","true","cosine","0.4","60","50","0.00001","[60,128,128,64,40]","mlp","11","40","500","1","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","309","0.5268363133850575","0.5137418209008835"
"golden-puddle-54","finished","-","sbaumann","","2021-05-06T15:47:25.000Z","95","","64","true","cosine","0","60","50","0.00001","[60,128,40]","mlp","10","40","100","1","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","99","0.4190575495020084","0.5042107101261516"
"distinctive-brook-53","failed","-","sbaumann","","2021-05-06T15:46:30.000Z","6","","64","true","cosine","0","60","50","0.00001","[60,128,40]","mlp","10","40","100","1","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"distinctive-plant-51","failed","-","sbaumann","","2021-05-06T15:43:08.000Z","6","","64","true","cosine","0","60","50","0.00001","[60,128,40]","mlp","10","40","100","1","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"twilight-glitter-50","failed","-","sbaumann","","2021-05-06T15:42:13.000Z","5","","64","true","cosine","0","60","50","0.00001","[60,128,40]","mlp","10","40","100","1","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"effortless-sun-49","failed","-","sbaumann","","2021-05-06T15:32:33.000Z","3","","64","true","mse","0","60","50","0.00001","[60,70,40]","bilstm","10","40","100","1","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"peach-bee-48","failed","-","sbaumann","","2021-05-06T15:30:33.000Z","95","","64","true","mae","0","60","300","0.00001","[60,70,40]","bilstm","10","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","53","0.22787834780450156","0.22694919102355665"
"vocal-serenity-47","finished","-","sbaumann","","2021-05-06T15:28:56.000Z","84","","64","true","mae","0","60","300","0.00001","[60,70,40]","mlp","9","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","99","0.2375539605515486","0.23322734019564623"
"pretty-bird-46","finished","-","sbaumann","","2021-05-06T15:27:24.000Z","85","","64","true","mae","0","60","300","0.0001","[60,70,40]","mlp","8","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","99","0.2285884325588919","0.22791772092407073"
"radiant-elevator-44","failed","-","sbaumann","","2021-05-06T14:52:01.000Z","7","","64","true","cosine","0","60","300","0.0001","[60,70,40]","mlp","8","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"dulcet-pine-42","failed","-","sbaumann","","2021-05-06T14:45:41.000Z","3","","64","true","__main__.cosine_loss","0","60","300","0.0001","[60,70,40]","mlp","8","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"snowy-blaze-40","failed","-","sbaumann","","2021-05-06T14:16:53.000Z","3","","64","true","__main__.cosine_loss","0","60","300","0.0001","[60,70,40]","mlp","8","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"radiant-dust-39","failed","-","sbaumann","","2021-05-06T14:14:48.000Z","3","","64","true","__main__.cosine_loss","0","60","300","0.0001","[60,70,40]","mlp","8","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"pleasant-gorge-38","failed","-","sbaumann","","2021-05-06T14:11:53.000Z","15","","64","true","__main__.cosine_loss","0","60","300","0.0001","[60,70,40]","mlp","8","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","","",""
"fearless-glitter-37","finished","-","sbaumann","","2021-05-06T10:25:56.000Z","255","","64","true","","0.3","60","300","0.0001","[60,128,80,40]","mlp","7","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","99","0.17021143297064031","0.1719116617487104"
"light-wood-36","finished","-","sbaumann","","2021-05-06T09:47:17.000Z","243","","64","true","","0.3","60","300","0.0001","[60,50,40]","mlp","6","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","99","0.18975364466300837","0.18261229280550875"
"eager-dew-35","finished","-","sbaumann","","2021-05-06T09:47:06.000Z","7","","64","true","","0.3","60","300","0.0001","[60,50,40]","mlp","5","40","100","4","1","","0.2","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","0","0.43464841544005967","0.28604772362477415"
"eager-morning-30","finished","-","sbaumann","","2021-05-05T23:20:12.000Z","142","","128","true","","0.2","60","300","0.0002","[60,50,40]","mlp","3","40","50","4","1","","0.5","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","49","0.1783788972582847","0.18075719171233312"
"resilient-night-29","finished","-","sbaumann","","2021-05-05T23:04:20.000Z","126","","128","true","","0.2","60","300","0.0002","[60,50,40]","mlp","3","40","50","4","1","","0.5","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","49","0.1794825352183961","0.18138253763692463"
"graceful-dragon-28","finished","-","sbaumann","","2021-05-05T22:53:25.000Z","135","","128","true","","0.2","60","300","0.0001","[60,50,40]","mlp","2","40","50","4","1","","0.5","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","49","0.19356882250508087","0.18642038623591764"
"playful-glade-27","finished","-","sbaumann","","2021-05-05T22:46:19.000Z","77","","128","true","","0.1","60","300","0.02","[60,64,40]","mlp","1","40","50","4","1","","0.5","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","49","0.1202854933656581","0.17600652238531928"
"driven-armadillo-25","finished","-","sbaumann","","2021-05-05T18:13:06.000Z","186","","128","true","","0.2","128","64","0.001","","bilstm","2","40","50","4","1","","0.5","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","49","0.15541067109102993","0.32642771755430966"
"sunny-paper-24","finished","-","sbaumann","","2021-05-05T17:57:22.000Z","198","","128","true","","0.2","128","300","0.02","","bilstm","1","40","50","4","1","","0.5","","","test_data.npy","test_labels.npy","","train_unshuffle_data.npy","train_unshuffle_labels.npy","","val_data.npy","val_labels.npy","0.000005","49","0.38496789047513974","0.3611673947355056"
