"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","feature_extract","lr","model_name","model_nr","num_classes","num_epochs","num_features","relu","epoch","train_acc","train_loss","val_acc","val_loss"
"vibrant-frog-41","finished","-","sbaumann","","2021-05-07T02:01:44.000Z","135","","64","true","0.001","inception","2","40","0","512","true","","","","",""
"daily-sponge-40","finished","-","sbaumann","","2021-05-07T00:28:33.000Z","137","","64","true","0.001","inception","2","40","0","512","true","","","","",""
"pleasant-plant-39","finished","-","sbaumann","","2021-05-06T22:45:35.000Z","134","","64","true","0.001","inception","2","40","0","512","true","","","","",""
"rural-star-38","finished","-","sbaumann","","2021-05-06T21:44:00.000Z","134","","64","true","0.001","inception","2","40","0","512","true","","","","",""
"icy-violet-37","finished","-","sbaumann","","2021-05-06T20:54:59.000Z","219","","64","true","0.001","inception","2","40","15","512","true","14","0.9067584480600752","2.4524062616804216","0.9748743718592964","2.2028356365223027"
"cosmic-energy-36","finished","-","sbaumann","","2021-05-06T20:46:54.000Z","409","","64","true","0.001","alexnet","2","40","10","512","true","9","0.8222778473091364","0.8449338729002598","0.8442211055276382","0.6416487695284225"
"logical-salad-33","failed","-","sbaumann","","2021-05-06T20:12:48.000Z","215","","64","true","0.001","inception","2","40","10","512","","2","0.5619524405506884","4.356187666462121","0.9045226130653268","2.7990331853454435"
"resilient-haze-32","finished","-","sbaumann","","2021-05-06T10:21:26.000Z","165","","64","true","0.001","inception","1","40","10","","","9","0.9255319148936172","2.146538739807167","0.984924623115578","1.0816366858218782"
"devoted-sound-31","finished","-","sbaumann","","2021-05-06T09:40:35.000Z","165","","64","true","0.001","inception","1","40","10","","","9","0.9336670838548186","2.120633945297986","0.9899497487437188","1.0711046310525445"
"glad-firefly-30","finished","-","sbaumann","","2021-05-06T09:31:48.000Z","165","","64","true","0.001","inception","1","40","10","","","9","0.9355444305381728","2.1511963264217067","0.984924623115578","1.0653391273776491"
"prime-flower-29","finished","-","sbaumann","","2021-05-06T09:23:21.000Z","163","","64","true","0.001","inception","1","40","10","","","9","0.9286608260325409","2.1535085954415485","0.984924623115578","1.0869866609573364"
"avid-galaxy-28","finished","-","sbaumann","","2021-05-06T09:09:32.000Z","207","","64","true","0.001","inception","1","40","10","","","9","0.9305381727158948","2.165480065256246","0.9798994974874372","1.068162333426164"
"daily-oath-27","finished","-","sbaumann","","2021-05-06T00:26:48.000Z","175","","64","true","0.001","inception","1","40","10","","","9","0.9317897371714644","2.135021060817083","0.9899497487437188","1.066760008658596"
"absurd-plasma-26","finished","-","sbaumann","","2021-05-05T23:28:07.000Z","177","","64","true","0.001","inception","1","40","10","","","9","0.939924906132666","2.1233823526189086","0.984924623115578","1.0556761814122224"
"revived-shadow-25","finished","-","sbaumann","","2021-05-05T23:16:30.000Z","174","","64","true","0.001","inception","1","40","10","","","9","0.9249061326658324","2.1610597728638536","0.984924623115578","1.0845640247790658"
"dandy-wood-24","finished","-","sbaumann","","2021-05-05T22:49:43.000Z","211","","64","true","0.001","inception","1","40","10","","","9","0.9311639549436797","2.142098621671579","0.984924623115578","1.07231877077764"
"blooming-sun-23","finished","-","sbaumann","","2021-05-05T22:28:20.000Z","172","","64","true","0.001","inception","1","40","10","","","9","0.9249061326658324","2.1262029673489224","0.984924623115578","1.0743575581354112"
"quiet-frog-22","finished","-","sbaumann","","2021-05-05T17:42:47.000Z","215","","64","true","0.001","inception","1","40","15","","","14","0.94180225281602","1.4305120142589374","0.984924623115578","0.5835630309641661"
"visionary-brook-12","finished","-","sbaumann","","2021-05-05T10:00:51.000Z","337","","64","true","0.001","inception","1","40","15","","","14","0.9436795994993742","1.417131882286788","0.9798994974874372","0.5783425674366591"
"decent-microwave-9","finished","-","sbaumann","","2021-04-10T00:33:20.000Z","245","","64","true","0.001","alexnet","2","40","15","","","14","0.8566958698372966","0.574615558784208","0.8844221105527639","0.457243083934089"
"lucky-wood-6","finished","-","sbaumann","","2021-04-10T00:23:54.000Z","206","","64","true","0.001","inception","1","40","15","","","14","0.946808510638298","1.4259103044252073","0.984924623115578","0.5783419468295035"
